Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Morelos ",1.147793469,1.148250187,1.296816907,1.226020338,1.22951111,1.074985954,1.179147943,1.193144391,1.139115555,1.045668947,1.185356913,1.073959363,0.995233911,1.045228238,1.046350488,1.102502641
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Nayarit ",1.42200237,1.589849868,1.618676071,1.514484562,1.57999381,1.697961141,1.548652598,1.556006207,1.80628958,1.67151773,1.539437522,1.355138273,1.327077619,1.461906971,1.447258208,1.367741523
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Nuevo Le�n ",1.735160642,1.619515592,1.560512246,1.459110365,1.546626863,1.41606684,1.514416348,1.582954809,1.445648619,1.382282691,1.340291377,1.292050998,1.17433638,1.091223289,1.049814961,1.031592591
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Oaxaca ",2.622525997,2.596029731,2.595725546,2.696294334,2.612010959,2.689844295,2.789643704,2.739586823,2.794170705,2.78608303,2.839376442,2.74988263,2.670153814,2.66141218,2.606823818,2.624175481
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Puebla ",4.209822831,4.203322387,4.413710283,4.332102832,4.383344612,4.375534254,4.196460047,4.295429106,4.21710616,4.429852475,4.341756831,4.158718155,4.449902772,4.279814811,4.15461895,4.158318585
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Quer�taro ",1.45885956,1.38366577,1.265502371,1.276246933,1.385280103,1.340290365,1.342864208,1.448181679,1.408027913,1.533241755,1.538666734,1.616705157,1.67894815,1.590386003,1.711523897,1.673193837
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Quintana Roo ",0.340611645,0.361466017,0.399707355,0.422373828,0.3279376,0.274963894,0.333596474,0.395487334,0.42371787,0.37810014,0.387584834,0.364642084,0.363977267,0.348511426,0.36573048,0.427517316
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria San Luis Potos� ",2.04619351,2.029439333,2.128628664,2.030443828,2.010308069,2.087896727,1.973922578,2.09878314,1.934314745,1.913928201,2.251905013,2.414337491,2.350864508,2.356638369,2.391547493,2.518326601
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Sinaloa ",6.600448911,7.587010027,7.46134136,7.981553708,8.305913816,8.188112648,7.858611085,6.897222897,6.511824887,7.217730645,7.123013741,6.979844457,7.771681071,8.014275628,7.426889424,7.592619096
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Sonora ",5.514730604,4.913193494,5.681147336,5.117802981,5.558093294,5.741385144,5.887032066,5.866078499,5.924935481,6.218856638,5.860657099,5.754289012,6.186116387,6.248535102,6.594009618,6.622561776
